event_id,date,event_name,category,description,expected_price_impact
1,1990-08-02,Iraq invades Kuwait (Gulf War buildup),Geopolitical,"Iraqi invasion of Kuwait removed a major OPEC producer's exports from the market and raised fears of a wider Gulf conflict, sparking a sharp price spike.",Sharp increase
2,1991-01-17,Start of Gulf War (Operation Desert Storm),Geopolitical,"US-led coalition began military action to expel Iraqi forces from Kuwait; oil markets had already priced in much of the risk, and prices fell once war began ('sell the rumor, buy the fact').",Sharp decrease
3,1997-07-02,Asian Financial Crisis begins,Economic,"Collapse of the Thai baht triggered a regional financial crisis that sharply reduced Asian oil demand growth expectations through 1998.",Gradual decrease
4,1998-12-01,1998 oil price collapse (OPEC oversupply + Asian crisis),OPEC/Economic,"Combination of weak Asian demand and OPEC production increases pushed Brent to under $10/barrel, one of the lowest real prices in decades.",Sharp decrease
5,1999-03-01,OPEC agrees to production cuts,OPEC,"OPEC and non-OPEC producers (including Mexico, Norway) agreed to coordinated output cuts, helping prices recover through 1999-2000.",Gradual increase
6,2001-09-11,September 11 terrorist attacks,Geopolitical,"Attacks on the US raised concerns about global economic slowdown and air travel demand, contributing to short-term price weakness amid broader market turmoil.",Short-term decrease
7,2003-03-20,US-led invasion of Iraq,Geopolitical,"Invasion raised concerns about supply disruption from a major OPEC producer, adding a geopolitical risk premium to prices during the buildup and early war.",Increase then volatility
8,2008-07-11,Brent oil price peaks near $147/barrel,Economic,"Combination of strong emerging-market demand, a weak US dollar, and speculative activity drove Brent to an all-time high before the global financial crisis unwound demand.","Peak, then sharp decrease"
9,2008-09-15,Global Financial Crisis (Lehman Brothers collapse),Economic,"Collapse of Lehman Brothers triggered a global financial crisis and demand collapse, driving Brent from record highs to roughly $40/barrel within months.",Sharp decrease
10,2011-02-15,Arab Spring / Libyan civil war,Geopolitical,"Political uprisings across the Middle East and North Africa, including the loss of Libyan production during civil war, disrupted supply and lifted prices above $100/barrel.",Sharp increase
11,2014-11-27,OPEC declines to cut production amid oversupply,OPEC,"Facing rising US shale output, OPEC (led by Saudi Arabia) chose to defend market share rather than price, refusing to cut output despite falling prices, accelerating the 2014-2016 price collapse.",Sharp decrease
12,2016-11-30,OPEC+ agrees to first coordinated output cut since 2008,OPEC,"OPEC, joined by Russia and other non-OPEC producers (forming 'OPEC+'), agreed to cut production to address the prolonged supply glut, supporting a price recovery.",Gradual increase
13,2018-05-08,"US withdraws from Iran nuclear deal, reimposes sanctions",Geopolitical,"Renewed US sanctions on Iranian oil exports tightened expected supply and added a geopolitical risk premium to prices through late 2018.",Increase
14,2019-09-14,Drone attacks on Saudi Aramco Abqaiq facility,Geopolitical,"Attacks temporarily knocked out roughly half of Saudi Arabia's oil production capacity, causing the largest single-day price spike in Brent's history.",Sharp short-term spike
15,2020-03-08,Saudi-Russia oil price war begins,OPEC,"Talks between OPEC and Russia collapsed, and Saudi Arabia launched a price war by ramping up production and slashing prices, coinciding with collapsing COVID-19 demand.",Sharp decrease
16,2020-04-20,COVID-19 demand collapse (US WTI turns negative),Economic,"Global lockdowns collapsed oil demand; US WTI futures briefly traded negative due to storage constraints, and Brent fell to multi-decade lows.",Sharp decrease
17,2020-04-12,OPEC+ agrees record production cut,OPEC,"OPEC+ agreed to cut roughly 9.7 million barrels per day, the largest coordinated cut in history, to stabilize prices amid the COVID-19 demand shock.",Stabilization / gradual increase
18,2022-02-24,Russia invades Ukraine,Geopolitical,"Invasion triggered sanctions on Russian energy exports and fears of a major supply disruption from one of the world's largest oil exporters, pushing Brent above $100/barrel.",Sharp increase
19,2022-10-05,OPEC+ announces large production cut amid price weakness,OPEC,"OPEC+ agreed to cut output by 2 million barrels per day to support prices amid recession fears and falling demand expectations.",Gradual increase
20,2023-04-02,Surprise OPEC+ voluntary output cuts,OPEC,"Saudi Arabia and other OPEC+ members announced surprise voluntary production cuts to shore up prices amid banking-sector turmoil and demand concerns.",Sharp increase
